2.000,8.000,0.000,29.000,1.000,1.000,3.000,11.000,1.000,1.000,1.000,0.000,0.000,
1.000,13.000,1.000,18.000,0.000,2.000,0.000,14.000,1.000,4.000,0.000,0.000,6.000,
3.000,6.000,0.000,24.000,0.000,0.000,1.000,5.000,1.000,0.000,0.000,1.000,0.000,
1.000,7.000,0.000,29.000,1.000,4.000,0.000,15.000,0.000,0.000,0.000,1.000,1.000,
0.000,8.000,0.000,20.000,1.000,0.000,0.000,9.000,2.000,1.000,0.000,0.000,4.000,
0.000,6.000,0.000,25.000,2.000,1.000,0.000,9.000,0.000,0.000,0.000,0.000,3.000,
2.000,4.000,0.000,16.000,0.000,0.000,0.000,7.000,0.000,1.000,1.000,0.000,1.000,
0.000,8.000,0.000,16.000,2.000,0.000,0.000,5.000,1.000,0.000,0.000,0.000,2.000,
0.000,2.000,0.000,10.000,0.000,0.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,
1.000,1.000,0.000,11.000,1.000,1.000,0.000,5.000,0.000,2.000,0.000,0.000,0.000,
1.000,5.000,2.000,18.000,0.000,1.000,1.000,12.000,0.000,0.000,0.000,0.000,4.000,
0.000,6.000,2.000,23.000,1.000,2.000,0.000,7.000,0.000,1.000,0.000,1.000,3.000,
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
0.000,4.000,0.000,12.000,1.000,3.000,0.000,6.000,0.000,0.000,0.000,0.000,1.000,
0.000,8.000,0.000,7.000,1.000,0.000,1.000,4.000,0.000,0.000,0.000,0.000,2.000,
1.000,1.000,0.000,8.000,0.000,1.000,0.000,5.000,0.000,0.000,0.000,0.000,0.000,
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
1.000,9.000,0.000,18.000,0.000,1.000,2.000,3.000,0.000,1.000,0.000,0.000,4.000,
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
